family,species,Mass (g),Tannin %,Fiber %,Elevation,Forest,Soil
Myrtaceae,Syzygium_balsameum,0.02939,8.698,4.47,high,Dry,Rich
Olacaceae,Schoepfia_fragrans,0.101473333,0.059,21.8,high,Dry,Poor
Oleaceae,Fraxinus_floribunda,0.009396667,3.972,47.66,low,Dry,Poor
Passifloraceae,Adenia_cardiophylla,0.132616667,0.214,33.43,mid,Dry,Poor
Passifloraceae,Passiflora_coerulea,0.018803333,0.319,49.76,mid,Dry,Poor
Pittosporaceae,Pittosporum_illicioides,0.023793333,3.637,25.93,mid,Dry,Poor
Poaceae,Coix_lacryma-jobi,0.165026667,0.023,31.69,mid,Wet,Poor
Polygonaceae,Rumex_nepalensis,0.0004984,1.403,12.24,high,Wet,Poor
Primulaceae,Embelia_ribes,0.013963333,0.789,46.32,low,Wet,Mean
Primulaceae,Embelia_sessiliflora,0.012141333,1.646,20.84,mid,Dry,Mean
Primulaceae,Embelia_undulata,0.016546667,2.693,39.11,low,Dry,Mean
Primulaceae,Embelia_floribunda,0.00933,0.47,58.86,low,Dry,Rich
Primulaceae,Rapanea_neriifolia,0.036653333,2.546,12.13,high,Wet,Poor
Proteaceae,Helicia_nilagirica,2.410006667,0.808,37.67,low,Dry,Mean
Rhamnaceae,Hovenia_acerba,0.01852,3.182,28.91,mid,Dry,Mean
Rhamnaceae,Ventilago_leiocarpa,0.041776667,1.697,12.74,mid,Dry,Poor
Rhamnaceae,Ziziphus_attopensis,0.76067,0.057,31.75,mid,Wet,Poor
Rosaceae,Neillia_serratisepala,0.001138,1.21,56.87,mid,Dry,Poor
Rosaceae,Photinia_serrulata,0.02575,15.349,9.4,high,Dry,Rich
Rubiaceae,Aidia_yunnanensis,0.000544,0.267,70.64,low,Dry,Rich
Rubiaceae,Mitragyna_rotundifolia,0.000044,0.072,40.89,mid,Dry,Rich
Rubiaceae,Mussaenda_hossei,0.0000688,0.013,53.34,high,Wet,Poor
Rubiaceae,Psychotria_yunnanensis,0.034266667,1.951,35.47,high,Dry,Rich
Rubiaceae,Uncaria_macrophylla,0.0000284,0.255,52.14,high,Dry,Poor
Rutaceae,Evodia_fraxinifolia,0.003526667,0.182,44.25,high,Dry,Rich
Rutaceae,Toddalia_asiatica,0.017726667,0.173,63.41,high,Dry,Poor
Santalaceae,Osyris_wightiana,0.07105,0.117,24.69,high,Dry,Poor
Sapindaceae,Nephelium_chryseum,5.807959259,0.052,23.12,low,Dry,Rich
Sapindaceae,Sapindus_rarak,2.114058621,0.054,41.1,mid,Wet,Poor
Simaroubaceae,Picrasma_javanica,0.310636667,0.22,22.87,mid,Dry,Poor
Simaroubaceae ,Brucea_mollis,0.05315,0.206,41.26,mid,Wet,Poor
Solanaceae,Solanum_indicum,0.002233333,0.04,56.36,mid,Dry,Rich
Solanaceae,Solanum_spirale,0.003606667,0.882,39.05,high,Dry,Poor
Solanaceae,Solanum_torvum,0.0007044,0.072,56.25,low,Dry,Poor
Solanaceae,Solanum_wrightii,0.004973333,0.195,23.59,mid,Wet,Mean
Staphyleaceae,Turpinia_cochinchinensis,0.015986667,0.57,55.29,low,Dry,Rich
Styracaceae,Styrax_agrestis,0.17436,0.099,46.53,low,Wet,Rich
Styracaceae,Styrax_argentifolius,0.15476,0.041,34.5,mid,Wet,Rich
Styracaceae,Styrax_chinensis,3.181137037,0.064,43.82,high,Wet,Poor
Styracaceae,Styrax_japonicus,0.16023,0.539,71.87,low,Wet,Mean
Symplocaceae,Symplocos_paniculata,0.020303333,0.136,61.19,mid,Wet,Mean
Symplocaceae,Symplocos_ramosissima,0.129243333,4.733,51.25,mid,Wet,Poor
Theaceae,Camellia_sinensis,1.238643333,0.294,32.11,mid,Dry,Mean
Theaceae,Eurya_groffii,0.00838,0.982,65.93,high,Dry,Mean
Theaceae,Pyrenaria_cheliensis,0.20154,0.088,64.16,low,Dry,Poor
Verbenaceae,Callicarpa_arborea,0.0019072,0.063,67.76,mid,Dry,Poor
Verbenaceae,Callicarpa_rubella,0.0006864,0.466,42.19,mid,Dry,Poor
Vitaceae,Tetrastigma_yunnanense,0.021913333,0.594,51.06,mid,Wet,Mean
Vitaceae ,Tetrastigma_sp,0.020006667,0.272,46.18,mid,Wet,Rich
Zingiberaceae,Amomum_koenigii,0.03985,0.383,16.44,high,Wet,Rich
