liz_ID,Site,context,svl.mm,crest_pres,area_under_crest,max_tail_height,base_to_crest_end
KMW_264,Ponce,urban,65,1,0.672266667,0.506933333,1.7472
KMW_266,Ponce,urban,61,1,0.366566667,0.251833333,1.8499
KMW_267,Ponce,urban,64,1,0.695266667,0.443666667,2.004866667
KMW_269,Ponce,urban,60,1,0.6922,0.491033333,1.822566667
KMW_271,Ponce,urban,66,1,0.7385,0.457266667,2.102933333
KMW_274,Ponce,urban,66,1,0.717966667,0.435,1.971033333
KMW_276,Ponce,urban,67,1,0.747866667,0.4601,2.261266667
KMW_278,Ponce,natural,63,1,0.615566667,0.4234,1.763933333
KMW_279,Ponce,natural,60,1,0.498866667,0.3637,1.673833333
KMW_280,Ponce,natural,62,1,0.666933333,0.450966667,1.892333333
KMW_281,Ponce,natural,62,1,0.441666667,0.309266667,1.7205
KMW_282,Ponce,natural,61,1,0.454933333,0.338133333,1.591033333
KMW_283,Ponce,natural,58,0,NA,0.212533333,NA
KMW_284,Ponce,natural,68,1,0.560033333,0.339733333,2.0776
KMW_286,Ponce,natural,64,1,0.671566667,0.422766667,1.8749
KMW_287,Ponce,natural,64,1,0.573266667,0.383533333,1.864433333
KMW_289,Ponce,natural,57,1,0.587366667,0.440166667,1.6356
KMW_290,Ponce,natural,59,1,0.4912,0.353933333,1.711266667
KMW_291,Ponce,natural,60,1,0.448233333,0.337466667,1.635966667
KMW_292,Ponce,natural,60,1,0.5256,0.374833333,1.696166667
KMW_294,Ponce,natural,54,1,0.309,0.2706,1.3622
KMW_295,Ponce,natural,60,1,0.4139,0.311533333,1.557633333
KMW_296,Ponce,natural,56,1,0.4418,0.331166667,1.610033333
KMW_297,Ponce,natural,56,1,0.3467,0.280733333,1.478833333
KMW_299,Ponce,natural,54,1,0.2492,0.233266667,1.298266667
KMW_300,Ponce,natural,58,1,0.570933333,0.432133333,1.732966667
KMW_301,Ponce,natural,57,1,0.564933333,0.3995,1.743533333
KMW_302,Ponce,natural,56,1,0.3559,0.2895,1.491766667
KMW_303,Ponce,natural,55,1,0.234766667,0.2065,1.3697
KMW_304,Ponce,natural,61,1,0.4373,0.315366667,1.600133333
KMW_305,Ponce,natural,52,1,0.3115,0.280033333,1.281266667
KMW_307,Ponce,natural,57,1,0.4588,0.3397,1.643833333
KMW_308,Ponce,natural,57,1,0.387033333,0.285666667,1.562433333
KMW_309,Ponce,natural,54,1,0.4588,0.3579,1.537233333
KMW_311,Ponce,natural,59,1,0.402433333,0.3077,1.541966667
KMW_312,Ponce,natural,59,1,0.4253,0.297,1.7706
KMW_313,Ponce,natural,52,0,0.192533333,0.1877,1.2652
KMW_316,Ponce,natural,52,1,0.3418,0.301133333,1.4014
KMW_317,Ponce,natural,60,1,0.690066667,0.476166667,1.852166667
KMW_318,Ponce,natural,69,1,0.517033333,0.3329,1.731433333
KMW_320,Ponce,natural,65,1,0.605066667,0.3791,1.9573
